"title","id","year"
"An applied knowledge framework to study complex systems","7409264294851661954",2017,theory
"Opportunities to improve impact, integration, and evaluation of land change models","10978176258751532032",2013,theory
" Spatial analysis: a fertile ground for demography L'analyse spatiale: un tournant fécond pour la démographie","3683768758262342071",2021,theory
"Modeling urban expansion policy scenarios using an agent-based approach for Guangzhou Metropolitan Region of China","4959931863266398059",2014,model
"Modeling urban growth in the Atlanta, Georgia metropolitan area using remote sensing and GIS","13916174676166647417",2004,model
" Growth dynamic of retail locations: A methodological approach using a logistic model","14913610833735315044",2013,method
"Scaling laws: insights and limitations","13745688307390748084",2020,theory
" 基于多智能体方法的企业迁移空间决策机理的研究框架","5849238078098360233",2014,NA
"On the spaces and dimensions of geographical systems","7547122842360374547",2011,theory
"Études prospectives appliquées à la dynamique de l'occupation et d'usage du sol et des ressources en eau: État de l'art","1255403799611514537",2019,theory
"The dynamic interaction of land use and transport in a highly fragmented city: the case of Cape Town, South Africa","3366497220544107579",2019,empirical
" Discovering artificial economics: How agents learn and economies evolve","9778791040663575240",2019,empirical
"Simulating future land use and ecosystem services in Northern Thailand","15866618902264251654",2018,model
"A complex network approach to urban growth","7469381680014020146",2006,model
" Generative network models for simulating urban networks, the case of inter-city transport network in Southeast Asia","1727240970915573682",2016,model
"Interaction d'ontologies informatique et géographique pour simuler des dynamiques multi-scalaires","3618526836955711246",2014,method
"A aplicação de sistemas multi-agentes no planeamento do território","15656821757410097064",2010,model
" Empowering urban governance through urban science: Multi-scale dynamics of urban systems worldwide","14984114116196901616",2020,empirical
"Emerging opportunities for landscape ecological modelling","7399815855328552059",2016,theory
"A small world perspective on urban systems","8006614535922635044",2013,empirical
"Le Grand Contournement de Paris, trop loin et trop proche de Paris? Jeux d'échelles et diversité des dynamiques du polycentrisme du Bassin Parisien (1982-2015)","10694854960006716584",2020,empirical
"Firm linkages, innovation and the evolution of urban systems","7060260884986910081",2007,empirical
"The philosophy of computational social science","12031818050488740804",2015,theory
"Modeling agglomeration forces in urban dynamics: a multi-agent system approach","14773486525923190172",2003,model
" Agent-based modeling of environmental conflict and cooperation","5571814078666646637",2018,model
"Measuring Urban Dynamics Through Public and Private Sector Concentration Patterns: The Case of Thessaly, Greece","6006098942650541884",2009,empirical
"Villes et réseaux «petits-mondes","7312784732992542875",2007,theory
"An interdisciplinary bibliometric analysis of models for land-use and transport interactions","18059844573543984636",2021,theory
"Investigating the influence of spatial and temporal granularities on agent‐based modeling","11482311086144383427",2015,method
"Monitoring and modelling landscape dynamics","12544305004385777984",2010,model
"Urban growth simulation using remote sensing, GIS, and SLEUTH urban model in Gelephu City, Bhutan.","7577224063895659733",2019,model
"High-resolution integrated modelling of the spatial dynamics of urban and regional systems","12078638533869125411",2000,model
"Surveying models in urban land studies","12461509638138559389",2012,theory
" Width of surface rupture zone for thrust earthquakes: implications for earthquake fault zoning","14665120828631313486",2018,NA
"Geographic automata systems and the OBEUS software for their implementation","15567767267970640987",2006,tool
" 人文经济地理空间分数维的认知基础——兼论分形技术的应用","1614563220341075681",2023,NA
"Modular ABM development for improved dissemination and training","9042129762499779708",2015,method
" Geographic automata systems: a new paradigm for integrating GIS and geographic simulation","17972997284072990107",2003,method
"Urban growth modeling based on land-use changes and road network expansion","8911748967759297223",2013,model
"Modelling global urban land-use change process using spherical cellular automata","17056325926410718025",2023,model
"Measuring one century of railway accessibility and population change in France. A historical GIS approach","7622033396544392224",2016,empirical
"Integration of Markov chain analysis and similarity-weighted instance-based machine learning algorithm (SimWeight) to simulate urban expansion","6432961297739495880",2017,model
"Modelling the interdependence of spatial scales in urban systems","2820822785187367924",2023,model
" Simulation model of land use dynamics and application: Progress and prospects","15329510846456711677",2021,theory
"Regards scientifiques croisés sur la hiérarchie des systèmes de peuplement: de l'empirie aux systèmes complexes","4027581564625748441",2012,theory
"Accelerating agent-based computation of complex urban systems","8964248395038901798",2012,method
" Trade-offs between sustainable development goals in systems of cities","7529478472341977865",2022,model
"An object-oriented cellular automata model for forest planning problems","7171948240398120511",2008,model
" 基于智能体模型的土地利用动态模拟研究进展","18445507306849912464",2008,NA
"À propos du sens des modèles à base d'agent avec interactions complexes en économie","12922438118788066091",2019,theory
"A dominance tree approach to systems of cities","5278491418777181089",2022,model
"Comparison of statistical approaches for modelling land-use change","4219482906798428188",2018,method
"New tools for simulating housing choices","13146253994713245912",2001,tool
" 政府规划约束下的城市空间增长多智能体模拟模型","18085115254354687859",2015,NA
" Une approche normative de l'aménagement au Luxembourg","16110138732642249282",2015,theory
"Urban geosimulation","12780476902075345092",2011,theory
" Spatio-temporal approaches: Geographic objects and change process","2195616468297900066",2014,theory
"Co-evolution and morphogenetic systems","12776136926509282890",2018,theory
"Accroche-toi au niveau, j'enlève l'échelle. Éléments d'analyse des aspects multiniveaux dans la simulation à base d'agents","12909999234134176484",2010,theory
"An interactive land use transition agent-based model (ILUTABM): Endogenizing human-environment interactions in the Western Missisquoi Watershed","6339880911789211498",2015,model
" Des données géographiques à la simulation à base d'agents: application de la plate-forme GAMA","10013142177137674789",2014,tool
"Future developments in geographical agent‐based models: Challenges and opportunities","6240521998948845076",2021,theory
" A spatially explicit agent based model of Muscovy duck home range behavior","4553397867100483009",2012,model
"Applying time-dependent variance-based global sensitivity analysis to represent the dynamics of an agent-based model of land use change","2837322613666535889",2010,method
" A Comprehensive Review on the Development and Evolution of Urban Growth Models and Current Challenges","7158395769120173730",2024,theory
"La coexistence des services institutionnels et artisanaux de transport collectif à Mila (Algérie): Approche par la géosimulation","6277359413283992466",2024,model
" Simple urban simulation atop complicated models: Multi-scale equation-free computing of sprawl using geographic automata","17931175872643961511",2013,model
"An agent-based model for optimal land allocation (AgentLA) with a contiguity constraint","13855583279885883766",2010,model
"Cahier de l'ARUC-ÉS Cahier No C-06-2006 «L'activité récréotouristique et les dynamiques territoriales d'une communauté». Étude sur le développement initial du …","12340216327119781150",2006,NA
" What resilience is not: uses and abuses","8223507533296043839",2012,theory
"Sémantiques de la métropolisation","13954859385634984058",2000,theory
"Central Eastern European cities within multi-level transnational company networks: cores, peripheries and diffusion of innovation","15029376764056382645",2021,empirical
" Integrating Ontology-Based Information Extraction Systems and Spatial Modeling for Land Use Analysis and Simulation","9764691788213682825",2014,method
"Spatial adaptive settlement systems in archaeology. Modelling long-term settlement formation from spatial micro interactions","1161957678347928700",2023,model
"A typology of activities over a century of urban growth","8950732981958591016",2024,empirical
" MULTILOCALITy AS A METAPhOR FOR POST-FORdIST SPATIALITy ANd A dRIVER FOR ThE URbANISATION OF PERIPhERAL AREAS","13765878612067079038",2024,theory
" M@ ppemonde","18015963649249402272",NA,NA
"Prospective Territoriale par Simulation Orientée Agent.","4657477839906363395",2010,method
"iCity 3D: A geosimualtion method and tool for three-dimensional modeling of vertical urban development","6382156477112719905",2017,tool
"Modelling hierarchy and specialization of a system of cities from an evolutionary perspective on firms' interactions","5049255086420785683",2020,model
"Farming under urban pressure: Farmers' land use and land cover change intentions","10114636552452891208",2019,empirical
"Diversité et complémentarité des modèles multi-agents en sciences sociales","13163065499560197210",2014,theory
"Designing and implementing a regional urban modeling system using the SLEUTH cellular urban model","4094442467180205852",2010,model
"Modeling Urban Sprawl","16433901332891988827",2014,theory
"Dynamics of water-management systems in historical East African agricultural societies: Modelling the long-term ecosystem and socioeconomic interactions in a …","12041406664470424506",2018,model
" Measuring sprawl","10243143977660571036",2000,empirical
"Urban systems dynamics, urban growth and scaling laws: The question of ergodicity","17533337540039414727",2011,theory
" Using vector agents to implement an unsupervised image classification algorithm","11059896502227442834",2021,model
" L'homo geographicus: de l'emprunt à l'empreinte","16435177825294392316",1999,theory
" A vector agent approach to extract the boundaries of real-world phenomena from satellite images","8994447743194826101",NA,model
"Cellular automata in urban spatial modelling","5546964353423013615",2011,theory
" Les dynamiques urbaines au prisme des mobilités résidentielles longues","6473933192333965702",2014,theory
" La résilience de la ville de Dublin aux inondations: de la théorie à la pratique","3166843236192195663",2013,theory
"Dynamic interactions of life and its landscape: feedbacks at the interface of geomorphology and ecology","7787007609081875902",2010,theory
"The angiogenic growth of cities","4449391905422827175",2024,model
" A multilevel portrait of shrinking urban Russia","3462630277707346572",2016,empirical
" 多主体模型在土地利用动态模拟中的研究进展","3527783760368211076",2017,NA
"Half a billion simulations: Evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model","5750425554346314152",2015,method
"Enabling geosimulations for global scale: Spherical geographic automata","9566052019558402215",2023,method
"Occupation spatiale, densification et étalement urbain","8562593307109606092",2022,theory
"Beyond corroboration: Strengthening model validation by looking for unexpected patterns","1699663051565167789",2015,method
"Consommation de la ressource foncière, périurbanisation résidentielle et efficacité urbaine à Kinshasa","15513728865571340233",2019,empirical
"The philosophy of computational social science.","6181377397575227245",2015,theory
"An Integrated Software Environment for Object-Based Cellular Automata: An Application to the Study of Land-Use Changes","9941521532621921119",2019,tool
"Evolutions des organisations urbaines et mobilités quotidiennes: espace de référence et analyse des processus","16055843995282132757",2001,theory
"The growth equation of cities","18266549236484672943",2020,model
" Land Change Modeling and Institutional Factors: Heterogeneous Rules of Territory Use in the Brazilian Amazonia.","9606714179464266105",2008,empirical
"Systèmes de villes et niveaux d'organisation","13829101603307372136",2006,theory
" Geosimulation: Automata-based modeling of urban phenomena","1244859279975364799",2004,theory
" GEOSPATIAL APPROACH USING SOCIO-ECONOMIC AND PROJECTED CLIMATE CHANGE INFORMATION FORMODELLING URBAN GROWTH","17669048823409154716",NA,model
"A multi-scale decision support framework for sustainable urban renewal in high-density cities: a case of Hong Kong","12615164643291373995",2017,model
" Long-term dynamics of European towns and cities: towards a spatial model of urban growth","8062352965310603796",2000,model
"Formalisation spatio-temporelle de perturbations maritimes pour l'évaluation de la vulnérabilité du réseau maritime","13956475467058710347",2016,theory
" L'analyse de la gestion du risque de laves torrentielles dans le contexte d'une ville soumise à de fortes contraintes environnementales et à des facteurs de …","885985620901662386",2017,theory
"Association between population distribution and urban GDP scaling","14884610369787399619",2021,empirical
"Spatial Land Use Change Modeling Techniques","6872081479566551632",2017,method
"A influência do efeito de escala nos modelos de simulação baseados em autómatos celulares","5903276168231008295",2014,method
"Modélisations rétroprospectives des dynamiques de déforestation de l'Amazonie équatorienne: vers une hybridation des approches pattern et process","2358843124021979973",2023,method
" Evaluation of temporal and spatial ecosystem services in Dalian, China: Implications for urban planning","5146399156830286911",2018,empirical
"Methods for exploring simulation models","449546012447472251",2019,theory
" Simulation of complex systems in GIS","12389190202674305353",2013,theory
"Simulating the past for understanding the present. A critical review","2149957589205424980",2016,theory
"Fundamentos teóricos de modelagem em sistemas complexos","11228054937365570988",2019,theory
"Gibrat Revisited: An Urban Growth Model Incorporating Spatial Interaction and Innovation Cycles. 再评吉尔布瑞特: 顾及空间相互作用和创新周期的城市增长模型","9757046959040425687",2011,model
" Simulating Spatio-Temporal Dyanmics of Slum Formation in Ahmedabad, India","8672646341772112510",2012,model
" La cumulativité du savoir en sciences sociales","14677572608594776130",2020,theory
"Les formes des villes européennes vues du ciel. Une contribution de l'image CORINE Land cover à la comparaison morphologique des grandes villes d'Europe …","11395979757373931660",2003,empirical
"Fractal dimension analysis of urban morphology based on spatial correlation functions","9975990948681965804",2019,empirical
"Desarrollo de un Modelo Basado en Agentes para la simulación del crecimiento urbano: Submodelo de asignación de nuevo suelo urbanizable","409191265890857818",2014,model
"Agents, cells, and cities: new representational models for simulating multiscale urban dynamics","12423922208751770165",2005,model
"Megacities: The asian era","8881708315135695046",2014,theory
"From simulation to implementation: practical advice for policy makers who want to use computer modeling as an analysis and communication tool","14199705648211628375",2019,theory
"Regards croisés sur la modélisation des dynamiques spatiales.","12464647046983041719",2015,theory
"Kentsel ekolojik altyapı tasarımına yönelik ilişkisel peyzaj analiz yöntemi: Kuzey İstanbul örneği","3453314971617183873",2016,NA
"Accounting for peoples' preferences in establishing new cities: A spatial model of population migration in Kuwait","5822513356130794395",2018,model
" Usages des modèles spatiaux pour la prospective","14060518543283419306",2015,theory
"A multi-agent model and Tabu search optimization to manage agricultural territories","2559078223841496926",2006,model
" Cities, Diversity, and Global Maritime Networks","5248214671265475156",2021,theory
"Crescimento urbano e ambiente: um estudo exploratório sobre as transformações eo futuro da cidade","10176382727123177268",2005,empirical
" Modélisation des choix d'itinéraires pédestres en milieu urbain. Approche géographique et paysagère","2361788564310471769",2006,model
"Stability and instability in Mediterranean landscapes: A geoarchaeological perspective","10903231701180712949",2015,theory
"Modeling interactions between transportation networks and territories: a co-evolution approach","14308831535874300610",2019,model
"Innovation cycles and urban dynamics","2986039530901417622",2009,theory
"The study of land degradation in drylands: state of the art","7239984381526022339",2013,theory
" Explaining the Dynamics of Small Towns in Western France by Testing ThWyjaśnianie dynamiki małych miast w zachodniej Francji poprzez testowanie trzech …","10661838666337546915",2021,empirical
" Simulating Irrigation Systems (Landscapes) in Ancient and Modern Times: Developing an Irrigation-Related Agent-Based Model Framework","16476117325472626703",2024,model
"Sprawling cities and shrinking regions–forecasting urban growth in the Ruhr for 2025 by coupling cells and agents","4710688951416786012",2014,model
" Dynamiques des villes centre-est européennes face aux transformations politico-économiques (1961–2011)","11388247397736365569",2020,empirical
"Empirical agent-based land market: Integrating adaptive economic behavior in urban land-use models","10482753986407432022",2015,method
" Studies on urban sprawl and spatial planning support system for Bangalore, India","4236955821398185062",2008,empirical
"Wolfgang Weidlich (1931–2015): A Pioneer in Sociophysics","2110484331584016764",2023,theory
" 城市居住空间扩张的多主体模拟模型研究","14252455125541484564",NA,NA
" Cenários futuros para cidades inteligentes","5437272916234624240",2019,theory
" Time and space scales for measuring urban growth","10419638455288387263",2002,theory
"Multi-agent systems for urban planning","7793160565533369217",2014,theory
"Application of Vector Agents to Weed detection from UAV imagery. GeoComputation 2019","7639628903954581692",2019,method
"Mixed qualitative-simulation methods: Understanding geography through thick and thin","11455589744304309867",2017,method
" La métropolisation au Portugal: processus et politiques spatiales","2895521279167687729",2011,theory
" Agent-based simulation of residential promoting policy effects on downtown revitalization","16685678963190919617",2013,model
"Agent-based modeling of environment-migration linkages","7898351125777691261",2018,model
"Spatial‐temporal specific neighbourhood rules for cellular automata land‐use modelling","8727047365084265224",2007,method
"City size distributions and metropolisation","1286184359615703336",1997,theory
" Spatial Structure and Inter-Urban Relations: A Scientometric Mapping Approach","6852090489208314788",2021,theory
"Villes, agents et acteurs en géographie","16111453934010725354",2001,theory
"Agent-based modelling of urban economic and cultural dynamics under the rent-gap hypotheses","16354503159496807176",2017,model
" Geographical Modeling: Cities and Territories","4162807835119375453",2020,theory
"Empirical characterisation of agent behaviours in socio-ecological systems","9155326475219199484",2011,empirical
" Promenade dans les cartes de villes-phénoménologie mathématique et physique de la ville-une approche géométrique","18182354859988893377",2012,empirical
"From the smart city to the people-friendly city: usability of tools and data in urban planning","1994518415584295389",2015,theory
"Modeling human decisions in coupled human and natural systems: Review of agent-based models","18246247153930069861",2012,theory
"城市游憩场点系统结构分形及优化——以苏州市区为例","18298573287131822165",2010,NA
"Land use change: complexity and comparisons","4205113240986246898",2008,theory
"Système d'indicateurs spatialisés pour la gouvernance territoriale: application à l'occupation des sols en zone périurbaine languedocienne","10799422907375403649",2012,empirical
"Adaptive rationales and social-ecological complexity on insular tourism regions vulnerable to water stress","1614485788788223070",2018,empirical
"Geoprospective: an emerging field of research?","3407312714330176284",2012,theory
"The Promises of Complexity Sciences: A Critique","13303823075780249551",2023,theory
"Analyzing human–landscape interactions: tools that integrate","8994231444949215515",2014,tool
" 大尺度和精细化城市扩展 CA 的理论与方法探讨","818763338710131993",2016,NA
"Capturing the effects of gentrification on property values: An agent-based modeling approach","13921845671746003549",2020,model
"Análisis y modelización de la segregación socioespacial en las ciudades medias bonaerenses mediante sistemas de información geográfica: Olavarría, Pergamino y …","14434069448047434842",2011,theory
"Simulating feedbacks in land use and land cover change models","5002770996521062293",2006,method
"The future of urban systems: exploratory models","7060804975662397154",2009,theory
"Model histories: Narrative explanation in generative simulation modelling","852978999724636872",2012,method
" Le déploiement spatial du numérique: temps long et effets nationaux.","11867785826135811795",NA,empirical
"Modèles d'auto-organisation pour l'émergence de formes urbaines à partir de comportements individuels à Bogota","246404132014003742",2007,model
"Synchronizing histories of exposure and demography: the construction of an agent-based model of the Ecuadorian Amazon colonization and exposure to oil pollution …","15370332837354040296",2019,model
"Land-Use Dynamic Simulator (LUDAS): A multi-agent system model for simulating spatio-temporal dynamics of coupled human–landscape system. I. Structure and …","15851998945122364005",2008,model
" Modelling land use and transportation dynamics: methodological issues, state of the art, and applications in developing countries","2603812332557624597",2006,theory
"A minimal prototype for integrating GIS and geographic simulation through geographic automata systems","11653628040118159591",2004,tool
" Railways and port traffic: The case of France during the first wave of globalization","18187547511505962364",2024,empirical
" Spatial microsimulation models","2804920221519486375",2007,theory
"24 Simulation and Reduced Complexity Models","4715764512096174674",2016,theory
"The Complex Network Theory‐Based Urban Land‐Use and Transport Interaction Studies","17172275059453097412",2019,theory
" Modelling human-flood interactions: A coupled flood-agent-institution modelling framework for long-term flood risk management","1586746303961360877",2021,model
"No “Prêt à Porter” but a multi-scalar perspective of “Smart Cities”","3900102995428830889",2023,theory
"A comparative analysis of gridding systems for point-based land cover/use analysis","11921939802778330925",2019,method
"Mind, the gap in landscape‐evolution modelling","4253829945097209492",2010,theory
"De l'endogénéité des hiérarchies dans les systèmes territoriaux complexes","6690016273875413733",2019,theory
"«Repenser la géographie économique».","4654391160877852099",2010,theory
"VIII. De la régionalisation à l'intelligence géographique","10005501695181525799",2016,theory
"Exploring the effects of feedbacks on land system behaviour: A Complex Adaptive Systems approach","9161933394238298866",2018,method
" Remote Sensing, Gis and Cellular Automata for Urban Growth Simulation.","7954806139768915181",2017,model
"Cellular models of urban systems","8245134539852632481",2001,theory
"Simulating urban growth using cellular automata approach (SLEUTH)-A case study of Praia City, Cabo Verde","11421695271734529989",2019,model
"Trends and evolution of automobile ownership in the municipalities of Chile","16564676784909271932",2021,empirical
"Numérique versus symbolique-Dialogue ontologique entre deux approches","5984885386634744169",2022,theory
" Methodological issues of spatial agent-based models","16003973393405948360",2020,method
"Modeling the population and industry distribution impacts of urban land use policies in Beijing","11228415295450031821",2018,model
"Incorporating alternative rational behaviour theories into urban simulative models","17738198791113138782",2024,method
" Urban growth and transport in Jeddah: dynamic modelling and assessment","5822709941383267927",2012,model
"Integrated Landscape Modelling in India: Evaluating the Scope for Micro-Level Spatial Analysis over Temporal Scale","5434508862150229316",2019,model
"Geospatial agents, agents everywhere...","7397993009421744706",2007,theory
"Integrating Geographic Information Technologies for Land Change Analysis and Modeling in an Urban Area","6684566969540253504",2014,model
" THE NATIONAL ACADEMIES PRESS","6599727212008909302",NA,NA
"Enhancing natural carbon sinks: Simulation of land use change under different carbon market scenarios by developing an ANN-ABM model","4932708405410433744",2024,model
"Le vieillissement de la population, un renouveau pour les bourgs ruraux français? Dynamiques socio-économiques et action publique","271987057444803114",2024,empirical
"A communication-aware framework for parallel spatially explicit agent-based models","10727384398039906585",2013,method
"Répartition de la croissance dans le système des villes françaises","12175802600193978805",2002,empirical
" Description and validation of a “non path-dependent” model for projecting contrasting urban growth futures","8318060003414693911",2016,model
" Europäische Integration und räumliche Differenzierung","8112195521019715379",2006,empirical
"Geosimulation of urban growth and demographic decline in the Ruhr: a case study for 2025 using the artificial intelligence of cells and agents","15633595015230314058",2014,model
" Handbook of research on digital research methods and architectural tools in urban planning and design","15558861516309886287",2019,theory
"Los bordes de la ciudad y la simulación del crecimiento urbano con autómatas celulares","9842885553782249125",2015,model
" Spatial dynamic modeling as a planning tool: simulation of urban land use change in Bauru and Piracicaba (SP), Brazil","3997436681659113728",2003,model
" Construire les campagnes méditerranéennes","2000134850635734216",2009,theory
" Agent-based modeling of climate change adaptation in agriculture: a case study in the Central Swabian Jura","13281169526841705972",2015,model
"Flexibility of multi-agent system models for rubber agroforest landscapes and social response to emerging reward mechanisms for ecosystem services in Sumatra …","5830223245978127700",2012,model
"La coopération entre villes européennes: convergences dans l'action publique urbaine par la circulation transnationale de modèles","575714546255330491",2021,empirical
"Hedonic house price modeling based on multilevel structured additive regression","6529663282592927754",2014,model
"Spatio-temporal uncertainty in Spatial Decision Support Systems: A case study of changing land availability for bioenergy crops in Mozambique","18219288760965814809",2012,model
"Urban dynamics and geo-diversity: from theory to modeling","18105485246569389842",2017,theory
" Systèmes de villes et pouvoir. L'analyse de Giovanni Botero à l'époque de la Renaissance","4411344416836875732",2002,theory
"Agent‐based modeling for ex ante assessment of tree crop innovations: litchis in northern Thailand","17936461736802874035",2010,model
"Cellular Automata for Urban Growth Modelling: A Review on Factors defining Transition Rules","11098842817698919968",2016,theory
"Exploring the historical determinants of urban growth patterns through cellular automata","5760978345343721894",2011,model
"基于 GIS 的细胞自动机模型与人地关系的复杂性探讨","17631517906554112341",2002,NA
"Intégration des villes d'Europe Centrale et orientale dans l'économie-monde depuis 1989: une entrée par les réseaux internationaux de commerce, de transport …","7728527522711463469",2018,empirical
"Simulating urban growth processes by integrating cellular automata model and artificial optimization in Binhai New Area of Tianjin, China","7571496170975512095",2016,model
" “Space, the final frontier”: How good are agent-based models at simulating individuals and space in cities?","5888546769254925637",2016,theory
" 城市异速标度研究的起源, 困境和复兴","12696757365873173708",2013,NA
" Le potentiel de métropolisation des villes marocaines-cas de l'aire urbaine fonctionnelle de rabat","5866135455283704801",2017,empirical
" MODELLING RAPID URBAN GROWTH OF KIRKUK CITY BASED ON ETHNICITY FACTORS USING GIS AND CELLULAR AUTOMATA-MARKOV","6729179183365758070",2016,model
" Land markets from the bottom up: micro-macro links in economics and implications for coastal risk management","7393099504479965219",2009,theory
" Information diffusion between Dutch cities: Revisiting Zipf and Pred using a computational social science approach","7776335429685560212",2021,empirical
" Resilience: persistence and change in landscape forms","10141682594801128898",2022,theory
"A fuzzy cellular automata urban growth model (FCAUGM) for the city of Riyadh, Saudi Arabia. Part 1: Model structure and validation","9560478131237282885",2009,model
"Dynamic modeling of urban areas for supporting integrated coastal zone management in the South Coast of São Miguel Island, Azores (Portugal)","2265762242295383378",2013,model
" Modeling intersecting processes of wetland shrinkage and urban expansion by a time-varying methodology","14329918870846844086",2019,model
